QS_Name,THE_Name,Score,Method
University of York,University of York,1.0,Fuzzy
University of Glasgow,University of Glasgow,1.0,Exact/Normalized
Universität Heidelberg,Universität Heidelberg,1.0,Exact/Normalized
University of Washington,University of Washington,1.0,Exact/Normalized
Adelaide University,Adelaide University,1.0,Exact/Normalized
University of Leeds,University of Leeds,1.0,Exact/Normalized
University of Southampton,University of Southampton,1.0,Exact/Normalized
Boston University,Boston University,1.0,Exact/Normalized
Osaka University,The University of Osaka,1.0,Exact/Normalized
Brown University,Brown University,1.0,Exact/Normalized
Université Paris-Saclay,Université Paris-Saclay,1.0,Exact/Normalized
Lund University,Lund University,1.0,Exact/Normalized
Sorbonne University,Sorbonne University,1.0,Exact/Normalized
The University of Warwick,University of Warwick,1.0,Exact/Normalized
University of Birmingham,University of Birmingham,1.0,Exact/Normalized
The University of Western Australia,The University of Western Australia,1.0,Exact/Normalized
KTH Royal Institute of Technology,KTH Royal Institute of Technology,1.0,Exact/Normalized
The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,1.0,Exact/Normalized
Kyoto University,Kyoto University,1.0,Exact/Normalized
KU Leuven,KU Leuven,1.0,Exact/Normalized
Korea University,Korea University,1.0,Exact/Normalized
Duke University,Duke University,1.0,Exact/Normalized
National Taiwan University (NTU),National Taiwan University (NTU),1.0,Exact/Normalized
The University of Auckland,University of Auckland,1.0,Exact/Normalized
University of Texas at Austin,University of Texas at Austin,1.0,Exact/Normalized
The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,1.0,Exact/Normalized
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,1.0,Exact/Normalized
Delft University of Technology,Delft University of Technology,1.0,Exact/Normalized
Shanghai Jiao Tong University,Shanghai Jiao Tong University,1.0,Exact/Normalized
Zhejiang University,Zhejiang University,1.0,Exact/Normalized
University of Bristol,University of Bristol,1.0,Exact/Normalized
Carnegie Mellon University,Carnegie Mellon University,1.0,Exact/Normalized
University of Amsterdam,University of Amsterdam,1.0,Exact/Normalized
University of Waterloo,University of Waterloo,1.0,Exact/Normalized
Georgia Institute of Technology,Georgia Institute of Technology,1.0,Exact/Normalized
RMIT University,RMIT University,1.0,Exact/Normalized
Sungkyunkwan University (SKKU),Sungkyunkwan University (SKKU),1.0,Exact/Normalized
Sapienza University of Rome,Sapienza University of Rome,1.0,Exact/Normalized
Aarhus University,Aarhus University,1.0,Exact/Normalized
University of Bath,University of Bath,1.0,Exact/Normalized
University of Science and Technology of China,University of Science and Technology of China,1.0,Exact/Normalized
University of St Andrews,University of St Andrews,1.0,Exact/Normalized
Aalto University,Aalto University,1.0,Exact/Normalized
"University of California, Davis","University of California, Davis",1.0,Exact/Normalized
University of Helsinki,University of Helsinki,1.0,Exact/Normalized
University College Dublin,University College Dublin,1.0,Exact/Normalized
Leiden University,Leiden University,1.0,Exact/Normalized
Rice University,Rice University,1.0,Exact/Normalized
University of Oslo,University of Oslo,1.0,Exact/Normalized
Pohang University of Science And Technology (POSTECH),Pohang University of Science and Technology (POSTECH),1.0,Exact/Normalized
Nanjing University,Nanjing University,1.0,Exact/Normalized
RWTH Aachen University,RWTH Aachen University,1.0,Exact/Normalized
Technical University of Denmark,Technical University of Denmark,1.0,Exact/Normalized
Tohoku University,Tohoku University,1.0,Exact/Normalized
Queen Mary University of London,Queen Mary University of London,1.0,Exact/Normalized
University of Wisconsin-Madison,University of Wisconsin-Madison,1.0,Exact/Normalized
Qatar University,Qatar University,1.0,Exact/Normalized
The University of Sheffield,University of Sheffield,1.0,Exact/Normalized
Uppsala University,Uppsala University,1.0,Exact/Normalized
Durham University,Durham University,1.0,Exact/Normalized
University of Alberta,University of Alberta,1.0,Exact/Normalized
University of Technology Sydney,University of Technology Sydney,1.0,Exact/Normalized
University of Nottingham,University of Nottingham,1.0,Exact/Normalized
Politecnico di Milano,Politecnico di Milano,1.0,Exact/Normalized
University of Copenhagen,University of Copenhagen,1.0,Exact/Normalized
Al-Farabi Kazakh National University,Al-Farabi Kazakh National University,1.0,Exact/Normalized
Université de Montréal,Université de Montréal,1.0,Exact/Normalized
York University,York University,1.0,Exact/Normalized
Hokkaido University,Hokkaido University,1.0,Exact/Normalized
Kyushu University,Kyushu University,1.0,Exact/Normalized
McMaster University,McMaster University,1.0,Exact/Normalized
Khalifa University,Khalifa University,1.0,Exact/Normalized
Tongji University,Tongji University,1.0,Exact/Normalized
University of Geneva,University of Geneva,1.0,Exact/Normalized
Lancaster University,Lancaster University,1.0,Exact/Normalized
University of Basel,University of Basel,1.0,Exact/Normalized
Hanyang University,Hanyang University,1.0,Exact/Normalized
Michigan State University,Michigan State University,1.0,Exact/Normalized
Ghent University,Ghent University,1.0,Exact/Normalized
Nagoya University,Nagoya University,1.0,Exact/Normalized
Chalmers University of Technology,Chalmers University of Technology,1.0,Exact/Normalized
University of Groningen,University of Groningen,1.0,Exact/Normalized
University of Liverpool,University of Liverpool,1.0,Exact/Normalized
University of Cape Town,University of Cape Town,1.0,Exact/Normalized
Western University,Western University,1.0,Exact/Normalized
University of Vienna,University of Vienna,1.0,Exact/Normalized
Universiti Teknologi Malaysia ,Universiti Teknologi Malaysia,1.0,Exact/Normalized
Wageningen University & Research,Wageningen University & Research,1.0,Exact/Normalized
University of Exeter,University of Exeter,1.0,Exact/Normalized
Newcastle University,University of Newcastle,1.0,Exact/Normalized
Eindhoven University of Technology,Eindhoven University of Technology,1.0,Exact/Normalized
Erasmus University Rotterdam ,Erasmus University Rotterdam,1.0,Exact/Normalized
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,1.0,Exact/Normalized
King Saud University,King Saud University,1.0,Exact/Normalized
Texas A&M University,Texas A&M University,1.0,Exact/Normalized
University of Southern California,University of Southern California,1.0,Exact/Normalized
Stockholm University,Stockholm University,1.0,Exact/Normalized
University of Ottawa,University of Ottawa,1.0,Exact/Normalized
Chulalongkorn University,Chulalongkorn University,1.0,Exact/Normalized
Tel Aviv University,Tel Aviv University,1.0,Exact/Normalized
Loughborough University,Loughborough University,1.0,Exact/Normalized
United Arab Emirates University,United Arab Emirates University,1.0,Exact/Normalized
Massey University,Massey University,1.0,Exact/Normalized
University of Lisbon ,University of Lisbon,1.0,Exact/Normalized
La Trobe University,La Trobe University,1.0,Exact/Normalized
École Normale Supérieure de Lyon,École Normale Supérieure de Lyon,1.0,Exact/Normalized
Deakin University,Deakin University,1.0,Exact/Normalized
"University of Maryland, College Park","University of Maryland, College Park",1.0,Exact/Normalized
University of Calgary,University of Calgary,1.0,Exact/Normalized
University of Florida,University of Florida,1.0,Exact/Normalized
University of Lausanne,University of Lausanne,1.0,Exact/Normalized
Keio University,Keio University,1.0,Exact/Normalized
Indian Institute of Science,Indian Institute of Science,1.0,Exact/Normalized
University of Reading,University of Reading,1.0,Exact/Normalized
Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,1.0,Exact/Normalized
Waseda University,Waseda University,1.0,Exact/Normalized
University of Otago,University of Otago,1.0,Exact/Normalized
National Yang Ming Chiao Tung University (NYCU Taiwan),National Yang Ming Chiao Tung University (NYCU Taiwan),1.0,Exact/Normalized
University of Gothenburg,University of Gothenburg,1.0,Exact/Normalized
National Cheng Kung University (NCKU),National Cheng Kung University (NCKU),1.0,Exact/Normalized
University of Twente,University of Twente,1.0,Exact/Normalized
Cardiff University,Cardiff University,1.0,Exact/Normalized
Emory University,Emory University,1.0,Exact/Normalized
Curtin University,Curtin University,1.0,Exact/Normalized
University of Bern,University of Bern,1.0,Exact/Normalized
University of Wollongong,University of Wollongong,1.0,Exact/Normalized
Wuhan University,Wuhan University,1.0,Exact/Normalized
Complutense University of Madrid,Complutense University of Madrid,1.0,Exact/Normalized
Tecnológico de Monterrey,Tecnológico de Monterrey,1.0,Exact/Normalized
North Carolina State University,North Carolina State University,1.0,Exact/Normalized
University of Cologne,University of Cologne,1.0,Exact/Normalized
Sun Yat-sen University,Sun Yat-sen University,1.0,Exact/Normalized
University of Milan,University of Milan,1.0,Exact/Normalized
University of Sussex,University of Sussex,1.0,Exact/Normalized
University of Antwerp,University of Antwerp,1.0,Exact/Normalized
University of Waikato,University of Waikato,1.0,Exact/Normalized
Dalhousie University,Dalhousie University,1.0,Exact/Normalized
University of Navarra,University of Navarra,1.0,Exact/Normalized
University of Surrey,University of Surrey,1.0,Exact/Normalized
Charles University,Charles University,1.0,Exact/Normalized
Norwegian University of Science And Technology,Norwegian University of Science and Technology,1.0,Exact/Normalized
Griffith University,Griffith University,1.0,Exact/Normalized
Middle East Technical University,Middle East Technical University,1.0,Exact/Normalized
University of Warsaw,University of Warsaw,1.0,Exact/Normalized
American University of Sharjah,American University of Sharjah,1.0,Exact/Normalized
Beijing Normal University ,Beijing Normal University,1.0,Exact/Normalized
Dartmouth College,Dartmouth College,1.0,Exact/Normalized
Vanderbilt University,Vanderbilt University,1.0,Exact/Normalized
University of Strathclyde,University of Strathclyde,1.0,Exact/Normalized
Technical University of Darmstadt,Technical University of Darmstadt,1.0,Exact/Normalized
Harbin Institute of Technology,Harbin Institute of Technology,1.0,Exact/Normalized
Beijing Institute of Technology,Beijing Institute of Technology,1.0,Exact/Normalized
University of Aberdeen,University of Aberdeen,1.0,Exact/Normalized
University of Rochester,University of Rochester,1.0,Exact/Normalized
University of Porto,University of Porto,1.0,Exact/Normalized
Maastricht University,Maastricht University,1.0,Exact/Normalized
The Hebrew University of Jerusalem,Hebrew University of Jerusalem,1.0,Exact/Normalized
Victoria University of Wellington,Victoria University of Wellington,1.0,Exact/Normalized
University of Göttingen,University of Göttingen,1.0,Exact/Normalized
Hong Kong Baptist University,Hong Kong Baptist University,1.0,Exact/Normalized
University College Cork,University College Cork,1.0,Exact/Normalized
University of Miami,University of Miami,1.0,Exact/Normalized
University of Tasmania,University of Tasmania,1.0,Exact/Normalized
Huazhong University of Science and Technology,Huazhong University of Science and Technology,1.0,Exact/Normalized
Université Grenoble Alpes,Université Grenoble Alpes,1.0,Exact/Normalized
University of Tehran,University of Tehran,1.0,Exact/Normalized
Koç University,Koç University,1.0,Exact/Normalized
Sichuan University,Sichuan University,1.0,Exact/Normalized
University of Jordan,The University of Jordan,1.0,Exact/Normalized
Stellenbosch University,Stellenbosch University,1.0,Exact/Normalized
Jagiellonian University,Jagiellonian University,1.0,Exact/Normalized
Xi’an Jiaotong University,Xi’an Jiaotong University,1.0,Exact/Normalized
Aalborg University,Aalborg University,1.0,Exact/Normalized
Simon Fraser University,Simon Fraser University,1.0,Exact/Normalized
University of Johannesburg,University of Johannesburg,1.0,Exact/Normalized
Linköping University,Linköping University,1.0,Exact/Normalized
Ulsan National Institute of Science and Technology (UNIST),Ulsan National Institute of Science and Technology (UNIST),1.0,Exact/Normalized
Swansea University,Swansea University,1.0,Exact/Normalized
"University of California, Irvine","University of California, Irvine",1.0,Exact/Normalized
Case Western Reserve University,Case Western Reserve University,1.0,Exact/Normalized
Swinburne University of Technology,Swinburne University of Technology,1.0,Exact/Normalized
University of Notre Dame,University of Notre Dame,1.0,Exact/Normalized
Istanbul Technical University,Istanbul Technical University,1.0,Exact/Normalized
University of Colorado Boulder,University of Colorado Boulder,1.0,Exact/Normalized
Université Paris Cité,Université Paris Cité,1.0,Exact/Normalized
University of Galway,University of Galway,1.0,Exact/Normalized
Georgetown University,Georgetown University,1.0,Exact/Normalized
University of Macau,University of Macau,1.0,Exact/Normalized
Universitas Airlangga,Universitas Airlangga,1.0,Exact/Normalized
Heriot-Watt University,Heriot-Watt University,1.0,Exact/Normalized
The University of Arizona,University of Arizona,1.0,Exact/Normalized
University of Bergen,University of Bergen,1.0,Exact/Normalized
University of Witwatersrand,University of the Witwatersrand,1.0,Exact/Normalized
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,1.0,Exact/Normalized
University of Pretoria,University of Pretoria,1.0,Exact/Normalized
University of Tartu,University of Tartu,1.0,Exact/Normalized
University of the Philippines,University of the Philippines,1.0,Exact/Normalized
University of Turku,University of Turku,1.0,Exact/Normalized
Sciences Po,Sciences Po,1.0,Exact/Normalized
Daegu Gyeongbuk Institute of Science and Technology (DGIST),Daegu Gyeongbuk Institute of Science and Technology (DGIST),1.0,Exact/Normalized
Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,1.0,Exact/Normalized
University of Coimbra,University of Coimbra,1.0,Exact/Normalized
University of Tsukuba,University of Tsukuba,1.0,Exact/Normalized
University of Münster,University of Münster,1.0,Exact/Normalized
Quaid-i-Azam University,Quaid-i-Azam University,1.0,Exact/Normalized
Nankai University,Nankai University,1.0,Exact/Normalized
National Technical University of Athens,National Technical University of Athens,1.0,Exact/Normalized
George Washington University,George Washington University,1.0,Exact/Normalized
Mahidol University,Mahidol University,1.0,Exact/Normalized
Shandong University,Shandong University,1.0,Exact/Normalized
Xiamen University,Xiamen University,1.0,Exact/Normalized
University of Oulu,University of Oulu,1.0,Exact/Normalized
Southern University of Science and Technology (SUSTech),Southern University of Science and Technology (SUSTech),1.0,Exact/Normalized
University of Pisa,University of Pisa,1.0,Exact/Normalized
National Taiwan University of Science and Technology (Taiwan Tech),National Taiwan University of Science and Technology (Taiwan Tech),1.0,Exact/Normalized
Cairo University,Cairo University,1.0,Exact/Normalized
Tilburg University,Tilburg University,1.0,Exact/Normalized
University of Leicester,University of Leicester,1.0,Exact/Normalized
Rutgers University–New Brunswick,Rutgers University–New Brunswick,1.0,Exact/Normalized
University of Delhi,University of Delhi,1.0,Exact/Normalized
University of Sharjah,University of Sharjah,1.0,Exact/Normalized
Kyung Hee University,Kyung Hee University,1.0,Exact/Normalized
Satbayev University,Satbayev University,1.0,Exact/Normalized
Sultan Qaboos University,Sultan Qaboos University,1.0,Exact/Normalized
Tufts University,Tufts University,1.0,Exact/Normalized
University of Southern Queensland,University of Southern Queensland,1.0,Exact/Normalized
Bilkent University,Bilkent University,1.0,Exact/Normalized
Czech Technical University in Prague,Czech Technical University in Prague,1.0,Exact/Normalized
University of Aveiro,University of Aveiro,1.0,Exact/Normalized
National Taipei University of Technology,National Taipei University of Technology,1.0,Exact/Normalized
Murdoch University,Murdoch University,1.0,Exact/Normalized
Tampere University,Tampere University,1.0,Exact/Normalized
Washington State University,Washington State University,1.0,Exact/Normalized
Western Sydney University,Western Sydney University,1.0,Exact/Normalized
University of Granada,University of Granada,1.0,Exact/Normalized
University of Limerick,University of Limerick,1.0,Exact/Normalized
University of Florence,University of Florence,1.0,Exact/Normalized
University of Lincoln,University of Lincoln,1.0,Exact/Normalized
University of Turin,University of Turin,1.0,Exact/Normalized
Dublin City University,Dublin City University,1.0,Exact/Normalized
Sunway University,Sunway University,1.0,Exact/Normalized
Flinders University,Flinders University,1.0,Exact/Normalized
"Birkbeck, University of London","Birkbeck, University of London",1.0,Exact/Normalized
National and Kapodistrian University of Athens,National and Kapodistrian University of Athens,1.0,Exact/Normalized
Abu Dhabi University,Abu Dhabi University,1.0,Exact/Normalized
Sejong University,Sejong University,1.0,Exact/Normalized
Southeast University,Southeast University,1.0,Exact/Normalized
Aston University,Aston University,1.0,Exact/Normalized
University of Kent,University of Kent,1.0,Exact/Normalized
Oxford Brookes University,Oxford Brookes University,1.0,Exact/Normalized
Sharif University of Technology,Sharif University of Technology,1.0,Exact/Normalized
South China University of Technology,South China University of Technology,1.0,Exact/Normalized
University of Saskatchewan,University of Saskatchewan,1.0,Exact/Normalized
The American University in Cairo,American University in Cairo,1.0,Exact/Normalized
University of Luxembourg,University of Luxembourg,1.0,Exact/Normalized
Brunel University of London,Brunel University of London,1.0,Exact/Normalized
Gwangju Institute of Science and Technology (GIST),Gwangju Institute of Science and Technology (GIST),1.0,Exact/Normalized
Université Laval,Université Laval,1.0,Exact/Normalized
Johannes Kepler University Linz,Johannes Kepler University of Linz,1.0,Exact/Normalized
Pusan National University,Pusan National University,1.0,Exact/Normalized
Hiroshima University,Hiroshima University,1.0,Exact/Normalized
Dalian University of Technology,Dalian University of Technology,1.0,Exact/Normalized
Duy Tan University,Duy Tan University,1.0,Exact/Normalized
Kobe University,Kobe University,1.0,Exact/Normalized
Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,1.0,Exact/Normalized
Amirkabir University of Technology,Amirkabir University of Technology,1.0,Exact/Normalized
"University of California, Santa Cruz","University of California, Santa Cruz",1.0,Exact/Normalized
"Royal Holloway, University of London","Royal Holloway, University of London",1.0,Exact/Normalized
Anna University,Anna University,1.0,Exact/Normalized
Concordia University,Concordia University,1.0,Exact/Normalized
Shanghai University,Shanghai University,1.0,Exact/Normalized
University of Kansas,University of Kansas,1.0,Exact/Normalized
Ben-Gurion University of The Negev,Ben-Gurion University of the Negev,1.0,Exact/Normalized
Ajman University,Ajman University,1.0,Exact/Normalized
James Cook University,James Cook University,1.0,Exact/Normalized
Macau University of Science and Technology,Macau University of Science and Technology,1.0,Exact/Normalized
"University of California, Riverside","University of California, Riverside",1.0,Exact/Normalized
Vilnius University,Vilnius University,1.0,Exact/Normalized
University of Bayreuth,University of Bayreuth,1.0,Exact/Normalized
Iowa State University,Iowa State University,1.0,Exact/Normalized
Shenzhen University,Shenzhen University,1.0,Exact/Normalized
Graz University of Technology,Graz University of Technology,1.0,Exact/Normalized
University of Dundee,University of Dundee,1.0,Exact/Normalized
Masaryk University,Masaryk University,1.0,Exact/Normalized
East China Normal University,East China Normal University,1.0,Exact/Normalized
Leibniz University Hannover,Leibniz University Hannover,1.0,Exact/Normalized
Prince Mohammad Bin Fahd university,Prince Mohammad Bin Fahd University,1.0,Exact/Normalized
Universitat Ramon Llull,Universitat Ramon Llull,1.0,Exact/Normalized
National Sun Yat-sen University,National Sun Yat-Sen University,1.0,Exact/Normalized
University of Hull,University of Hull,1.0,Exact/Normalized
University of Salamanca,University of Salamanca,1.0,Exact/Normalized
The Education University of Hong Kong,The Education University of Hong Kong,1.0,Exact/Normalized
University of Genoa,University of Genoa,1.0,Exact/Normalized
University of Iowa,University of Iowa,1.0,Exact/Normalized
University of Connecticut,University of Connecticut,1.0,Exact/Normalized
King Khalid University,King Khalid University,1.0,Exact/Normalized
Lebanese American University,Lebanese American University,1.0,Exact/Normalized
SOAS University of London,SOAS University of London,1.0,Exact/Normalized
University of Bradford,University of Bradford,1.0,Exact/Normalized
Lebanese University,Lebanese University,1.0,Exact/Normalized
University of Stirling,University of Stirling,1.0,Exact/Normalized
University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,1.0,Exact/Normalized
University of Huddersfield,University of Huddersfield,1.0,Exact/Normalized
Boston College,Boston College,1.0,Exact/Normalized
Chiang Mai University,Chiang Mai University,1.0,Exact/Normalized
University of Jyväskylä,University of Jyväskylä,1.0,Exact/Normalized
Northwestern Polytechnical University,Northwestern Polytechnical University,1.0,Exact/Normalized
Shoolini University of Biotechnology and Management Sciences,Shoolini University of Biotechnology and Management Sciences,1.0,Exact/Normalized
Chongqing University,Chongqing University,1.0,Exact/Normalized
Ewha Womans University,Ewha Womans University,1.0,Exact/Normalized
Hunan University ,Hunan University,1.0,Exact/Normalized
University of Guelph,University of Guelph,1.0,Exact/Normalized
Ateneo de Manila University,Ateneo de Manila University,1.0,Exact/Normalized
University of Trento,University of Trento,1.0,Exact/Normalized
Edith Cowan University,Edith Cowan University,1.0,Exact/Normalized
Warsaw University of Technology,Warsaw University of Technology,1.0,Exact/Normalized
Central South University,Central South University,1.0,Exact/Normalized
University of Bordeaux,University of Bordeaux,1.0,Exact/Normalized
University of Canberra,University of Canberra,1.0,Exact/Normalized
Iran University of Science and Technology,Iran University of Science and Technology,1.0,Exact/Normalized
Justus-Liebig-University Giessen,Justus Liebig University Giessen,1.0,Exact/Normalized
Hacettepe University ,Hacettepe University,1.0,Exact/Normalized
Isfahan University of Technology,Isfahan University of Technology,1.0,Exact/Normalized
Brno University of Technology,Brno University of Technology,1.0,Exact/Normalized
Universiti Teknologi Brunei,Universiti Teknologi Brunei,1.0,Exact/Normalized
University of Tabriz,University of Tabriz,1.0,Exact/Normalized
Florida International University,Florida International University,1.0,Exact/Normalized
University of Iceland,University of Iceland,1.0,Exact/Normalized
Charles Darwin University ,Charles Darwin University,1.0,Exact/Normalized
University of Kwazulu-Natal,University of KwaZulu-Natal,1.0,Exact/Normalized
Ajou University,Ajou University,1.0,Exact/Normalized
American University of the Middle East,American University of the Middle East,1.0,Exact/Normalized
University of Debrecen,University of Debrecen,1.0,Exact/Normalized
Bangor University,Bangor University,1.0,Exact/Normalized
Savitribai Phule Pune University,Savitribai Phule Pune University,1.0,Exact/Normalized
University of Minho,University of Minho,1.0,Exact/Normalized
Colorado School of Mines,Colorado School of Mines,1.0,Exact/Normalized
Hitotsubashi University,Hitotsubashi University,1.0,Exact/Normalized
University of Delaware,University of Delaware,1.0,Exact/Normalized
Indian Institute of Technology Indore,Indian Institute of Technology Indore,1.0,Exact/Normalized
University of Houston,University of Houston,1.0,Exact/Normalized
Al Ain University,Al Ain University,1.0,Exact/Normalized
Coventry University,Coventry University,1.0,Exact/Normalized
Jawaharlal Nehru University,Jawaharlal Nehru University,1.0,Exact/Normalized
Sogang University,Sogang University,1.0,Exact/Normalized
University of Ljubljana,University of Ljubljana,1.0,Exact/Normalized
Jinan University (China),Jinan University (China),1.0,Exact/Normalized
University of Utah,University of Utah,1.0,Exact/Normalized
Ulm University,Ulm University,1.0,Exact/Normalized
University of Windsor,University of Windsor,1.0,Exact/Normalized
Florida State University,Florida State University,1.0,Exact/Normalized
Thammasat University,Thammasat University,1.0,Exact/Normalized
Universiti Tenaga Nasional (UNITEN),Universiti Tenaga Nasional (UNITEN),1.0,Exact/Normalized
University of Crete,University of Crete,1.0,Exact/Normalized
University of Portsmouth,University of Portsmouth,1.0,Exact/Normalized
Saarland University,Saarland University,1.0,Exact/Normalized
Lincoln University College,Lincoln University College,1.0,Exact/Normalized
Southern Cross University,Southern Cross University,1.0,Exact/Normalized
"University of Chemistry and Technology, Prague","University of Chemistry and Technology, Prague",1.0,Exact/Normalized
