QS_Name,THE_Name,Score,Method
"University of Rome ""Tor Vergata""",University of Rome II – Tor Vergata,0.8955223880597015,Fuzzy
University of Bari,University of Basrah,0.8947368421052632,Fuzzy
University at Buffalo SUNY,University at Buffalo,0.8936170212765957,Fuzzy
Universiti Utara Malaysia (UUM),Universiti Utara Malaysia,0.8928571428571429,Fuzzy
University of East Anglia (UEA),University of East Anglia,0.8928571428571429,Fuzzy
Université de Tunis El Manar,University of Tunis El Manar,0.8928571428571429,Fuzzy
Universiti Putra Malaysia (UPM),Universiti Putra Malaysia,0.8928571428571429,Fuzzy
King Abdulaziz University (KAU),King Abdulaziz University,0.8928571428571429,Fuzzy
Universiti Sains Malaysia (USM),Universiti Sains Malaysia,0.8928571428571429,Fuzzy
Taipei Medical University (TMU),Taipei Medical University,0.8928571428571429,Fuzzy
National Tsing Hua University - NTHU,National Tsing Hua University,0.8923076923076924,Fuzzy
The National University of Science and Technology MISIS,National University of Sciences and Technology,0.8910891089108911,Fuzzy
Universität Duisburg-Essen,University of Duisburg-Essen,0.8888888888888888,Fuzzy
Prince Sultan University,Prince Sultan University (PSU),0.8888888888888888,Fuzzy
Ruhr-Universität Bochum,Ruhr University Bochum,0.8888888888888888,Fuzzy
Taylor's University,Baylor University,0.8888888888888888,Fuzzy
HSE University,SR University,0.8888888888888888,Fuzzy
IE University,VIT University,0.8888888888888888,Fuzzy
Hong Kong Metropolitan University,London Metropolitan University,0.8888888888888888,Fuzzy
University of Massachusetts Boston,University of Massachusetts,0.8852459016393442,Fuzzy
Altai State University,Ilia State University,0.8837209302325582,Fuzzy
Universitas Brawijaya ,Universitas Sriwijaya,0.8837209302325582,Fuzzy
Symbiosis International (Deemed University),Symbiosis International University,0.8831168831168831,Fuzzy
Applied Science Private University - Jordan,Applied Science Private University,0.8831168831168831,Fuzzy
Purdue University,Kurume University,0.8823529411764706,Fuzzy
INTI International University,Tishk International University,0.8813559322033898,Fuzzy
University of Calcutta,University of Talca,0.8780487804878049,Fuzzy
University of Oklahoma,University of Okara,0.8780487804878049,Fuzzy
University of Mumbai,University of Manouba,0.8780487804878049,Fuzzy
Universiti Teknologi MARA - UiTM,Universiti Teknologi MARA,0.8771929824561403,Fuzzy
China Medical University ,"China Medical University, Taiwan",0.8771929824561403,Fuzzy
Technische Universität Wien,Technische Universität Ilmenau,0.8771929824561403,Fuzzy
Multimedia University (MMU),Multimedia University,0.875,Fuzzy
MGIMO University,GITAM University,0.875,Fuzzy
Amity University,Akita University,0.875,Fuzzy
Ahlia University,Anhui University,0.875,Fuzzy
EPFL – École polytechnique fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,0.8735632183908046,Fuzzy
Indian Institute of Technology Bhubaneswar,Indian Institute of Technology Patna,0.8717948717948718,Fuzzy
California Institute of Technology (Caltech),California Institute of Technology,0.8717948717948718,Fuzzy
Viet Nam National University Ho Chi Minh City (VNU-HCM),Vietnam National University (Ho Chi Minh City),0.8712871287128713,Fuzzy
University of Massachusetts Amherst,University of Massachusetts,0.8709677419354839,Fuzzy
University of Cyprus (UCY),University of Cyprus,0.8695652173913043,Fuzzy
Chung-Ang University (CAU),Chung-Ang University,0.8695652173913043,Fuzzy
Universität Regensburg,University of Regensburg,0.8695652173913043,Fuzzy
Universidade Federal de São Paulo,Universidade Federal de São Paulo (UNIFESP),0.868421052631579,Fuzzy
Tallinn University of Technology (TalTech),Tallinn University of Technology,0.8648648648648649,Fuzzy
University of Dubai,University of Kufa,0.8648648648648649,Fuzzy
Universidade de Santiago de Compostela,University of Santiago de Compostela,0.8648648648648649,Fuzzy
University of Virginia,University of Victoria,0.8636363636363636,Fuzzy
Universität Innsbruck,University of Innsbruck,0.8636363636363636,Fuzzy
Universität Stuttgart,University of Stuttgart,0.8636363636363636,Fuzzy
Tomsk State University,Texas State University,0.8636363636363636,Fuzzy
Université de Rennes 1,University of Rennes 1,0.8636363636363636,Fuzzy
New York University (NYU),New York University,0.8636363636363636,Fuzzy
Universitas Indonesia,University of Indonesia,0.8636363636363636,Fuzzy
Université de Fribourg,University of Fribourg,0.8636363636363636,Fuzzy
University of Victoria (UVic),University of Victoria,0.8627450980392157,Fuzzy
University of South Carolina,University of South Carolina-Columbia,0.8615384615384616,Fuzzy
Zurich University of Applied Sciences (ZHAW),ZHAW Zurich University of Applied Sciences,0.8604651162790697,Fuzzy
Michigan Technological University,Delhi Technological University,0.8571428571428571,Fuzzy
Arizona State University,Londrina State University,0.8571428571428571,Fuzzy
Management and Science University,Management & Science University (MSU),0.8571428571428571,Fuzzy
Universität Konstanz,University of Konstanz,0.8571428571428571,Fuzzy
Universität Mannheim,University of Mannheim,0.8571428571428571,Fuzzy
RUDN University,SR University,0.8571428571428571,Fuzzy
China University of Mining and Technology,Cochin University of Science and Technology,0.8571428571428571,Fuzzy
Baku Engineering University,Harbin Engineering University,0.8571428571428571,Fuzzy
Almaty Technological University,Delhi Technological University,0.8524590163934426,Fuzzy
Universitas Padjadjaran (UNPAD),Universitas Padjadjaran,0.8518518518518519,Fuzzy
Universitat de Barcelona,University of Barcelona,0.851063829787234,Fuzzy
Universidad de Zaragoza,Universidad de Cartagena,0.851063829787234,Fuzzy
Oregon State University,Yerevan State University,0.851063829787234,Fuzzy
Indian Institute of Technology Madras (IITM),Indian Institute of Technology Mandi,0.85,Fuzzy
University of Zurich,University of Murcia,0.85,Fuzzy
Universität Hamburg,University of Hamburg,0.85,Fuzzy
Universität Potsdam,University of Potsdam,0.85,Fuzzy
Jilin University,Xidian University,0.8484848484848485,Fuzzy
Soochow University,Toho University,0.8484848484848485,Fuzzy
Khazar University,Yaşar University,0.8484848484848485,Fuzzy
City University of Hong Kong (CityUHK),City University of Hong Kong,0.8484848484848485,Fuzzy
Universidad Autónoma de Madrid,Universidad Autónoma de Chile,0.847457627118644,Fuzzy
Humboldt-Universität zu Berlin,Humboldt University of Berlin,0.847457627118644,Fuzzy
Pontificia Universidad Católica de Valparaíso,Pontificia Universidad Católica de Chile,0.8470588235294118,Fuzzy
Universitat Politecnica de Valencia,Universitat Politècnica de Catalunya,0.8450704225352113,Fuzzy
Universitat de Valencia,University of Valencia,0.8444444444444444,Fuzzy
"Nanyang Technological University, Singapore (NTU Singapore)","Nanyang Technological University, Singapore",0.8431372549019608,Fuzzy
Universität Bremen,University of Bremen,0.8421052631578947,Fuzzy
Université de Liège,University of Liège,0.8421052631578947,Fuzzy
Université de Lille,University of Lille,0.8421052631578947,Fuzzy
Freie Universitaet Berlin,Free University of Berlin,0.84,Fuzzy
University of Messina (UniME),University of Messina,0.84,Fuzzy
Colorado State University,Portland State University,0.84,Fuzzy
Pontificia Universidad Católica Argentina,Pontificia Universidad Católica de Chile,0.8395061728395061,Fuzzy
Indian Institute of Technology Roorkee (IITR),Indian Institute of Technology Ropar,0.8395061728395061,Fuzzy
Goethe-University Frankfurt am Main,Goethe University Frankfurt,0.8387096774193549,Fuzzy
Nanjing Agricultural University,Gazipur Agricultural University,0.8387096774193549,Fuzzy
University of Cyberjaya,University of Kerala,0.8372093023255814,Fuzzy
University of Science and Technology Beijing,Kohat University of Science and Technology,0.8372093023255814,Fuzzy
University of Stavanger,University of Havana,0.8372093023255814,Fuzzy
Wroclaw University of Science and Technology (Wrocław Tech),Wrocław University of Science and Technology,0.8349514563106796,Fuzzy
Utrecht University,Veltech University,0.8333333333333334,Fuzzy
Yeshiva University,Yanshan University,0.8333333333333334,Fuzzy
Ankara Üniversitesi,Ankara University,0.8333333333333334,Fuzzy
Belarusian State University,Ilia State University,0.8333333333333334,Fuzzy
Radboud University,Anadolu University,0.8333333333333334,Fuzzy
Technische Universität Dresden,Technische Universität Ilmenau,0.8333333333333334,Fuzzy
Universidad de Santiago de Chile (USACH),"University of Santiago, Chile (USACH)",0.8311688311688312,Fuzzy
Universiti Malaya (UM),Universiti Malaysia Sabah (UMS),0.8301886792452831,Fuzzy
Universidad de Chile,Universidad del Valle,0.8292682926829268,Fuzzy
Abo Akademi University,Acıbadem University,0.8292682926829268,Fuzzy
Northwest Agriculture and Forestry University,Fujian Agriculture and Forestry University,0.8275862068965517,Fuzzy
"Kingston University, London",Kingston University,0.8260869565217391,Fuzzy
Pontifícia Universidade Católica do Rio de Janeiro,Pontifícia Universidade Católica do Paraná,0.8260869565217391,Fuzzy
Universidad de Valladolid,Universidad del Valle,0.8260869565217391,Fuzzy
University of Pittsburgh,University of Fribourg,0.8260869565217391,Fuzzy
China Agricultural University ,Northeast Agricultural University,0.8253968253968254,Fuzzy
Huazhong Agricultural University,Gazipur Agricultural University,0.8253968253968254,Fuzzy
Indian Institute of Technology Bombay (IITB),Indian Institute of Technology Ropar,0.825,Fuzzy
Indian Institute of Technology Kanpur (IITK),Indian Institute of Technology Ropar,0.825,Fuzzy
Institut Teknologi Sepuluh Nopember (ITS Surabaya),Institut Teknologi Sepuluh Nopember,0.8235294117647058,Fuzzy
Lincoln University,Sinop University,0.8235294117647058,Fuzzy
University of Cincinnati,University of Cuenca,0.8181818181818182,Fuzzy
Universidad del Rosario,Universidad del Desarrollo,0.8163265306122449,Fuzzy
Universidad de Concepción,University of Concepción,0.8163265306122449,Fuzzy
Universidad de Costa Rica,University of Costa Rica,0.8163265306122449,Fuzzy
Université catholique de Louvain (UCLouvain),Université Catholique de Louvain,0.8157894736842105,Fuzzy
Gazi Üniversitesi,Gazi University,0.8125,Fuzzy
Universidad Nacional de Colombia,Universidad Nacional del Litoral,0.8125,Fuzzy
Effat University,Wasit University,0.8125,Fuzzy
Aga Khan University,Yanshan University,0.8108108108108109,Fuzzy
Clemson University,Golestan University,0.8108108108108109,Fuzzy
Sechenov University,Shantou University,0.8108108108108109,Fuzzy
Indian Institute of Technology Delhi (IITD),Indian Institute of Technology Mandi,0.810126582278481,Fuzzy
Université de Montpellier,Université de Poitiers,0.8085106382978723,Fuzzy
Universidad de Antioquia,University of Antioquia,0.8085106382978723,Fuzzy
The Ohio State University,Texas State University,0.8085106382978723,Fuzzy
Universidad de La Sabana,University of La Sabana,0.8085106382978723,Fuzzy
The University of Georgia,The University of Aizu,0.8085106382978723,Fuzzy
European University of Lefke,European University of Madrid,0.8070175438596491,Fuzzy
Universidade Federal de Minas Gerais (UFMG),Universidade Federal do Maranhão (UFMA),0.8048780487804879,Fuzzy
Indian Institute of Technology Guwahati (IITG),Indian Institute of Technology Patna,0.8048780487804879,Fuzzy
Pontificia Universidad Catolica del Peru (PUCP),Pontificia Universidad Católica de Chile,0.8045977011494253,Fuzzy
University of Tromsø The Arctic University of Norway,UiT The Arctic University of Norway,0.8045977011494253,Fuzzy
National University of Sciences & Technology (NUST) Islamabad,National University of Sciences and Technology,0.8037383177570093,Fuzzy
University of New Mexico,University of Nicosia,0.8,Fuzzy
Pennsylvania State University,Ilia State University,0.8,Fuzzy
City University of New York,University of York,0.8,Fuzzy
Bogaziçi Üniversitesi,Boğaziçi University,0.8,Fuzzy
University at Albany SUNY,SUNY University at Albany,0.8,Fuzzy
University of North Texas,University of South Wales,0.8,Fuzzy
"University of Colorado, Denver",University of Denver,0.8,Fuzzy
Indian Institute of Technology Hyderabad (IITH),Indian Institute of Technology Patna,0.7951807228915663,Fuzzy
Universidad Católica Andres Bello,Universidad Católica del Maule,0.7936507936507936,Fuzzy
University of Minnesota Twin Cities,University of Minnesota,0.7931034482758621,Fuzzy
Universidad de La Habana,Universidad de Cartagena,0.7916666666666666,Fuzzy
Universidade de São Paulo,University of São Paulo,0.7916666666666666,Fuzzy
International Islamic University Malaysia (IIUM),"International Islamic University, Islamabad",0.7912087912087912,Fuzzy
Universidad de Córdoba,University of Córdoba,0.7906976744186046,Fuzzy
Universidad de Sevilla,Universidad del Valle,0.7906976744186046,Fuzzy
Tianjin University,Taiz University,0.7878787878787878,Fuzzy
Universidade Federal do Rio de Janeiro,Universidade Federal de Juiz de Fora,0.7837837837837838,Fuzzy
Universidade de Brasília,University of Brasília,0.782608695652174,Fuzzy
"The University of Newcastle, Australia (UON)",The University of Notre Dame Australia,0.7804878048780488,Fuzzy
Universidade de Vigo,Universidad del Valle,0.7804878048780488,Fuzzy
Universidad de Oviedo,University of Oviedo,0.7804878048780488,Fuzzy
Universidade Nova de Lisboa,Universidad Nacional del Litoral,0.7796610169491526,Fuzzy
Universidad de Belgrano (UB),Universidad Andrés Bello (UNAB),0.7796610169491526,Fuzzy
Northumbria University at Newcastle,Northumbria University,0.7719298245614035,Fuzzy
China University of Geosciences,Poznań University of Life Sciences,0.7692307692307693,Fuzzy
"University of Missouri, Columbia","University of the North, Colombia",0.7692307692307693,Fuzzy
Technische Universität Braunschweig,Technische Universität Ilmenau,0.7692307692307693,Fuzzy
Indian Institute of Technology Kharagpur (IIT-KGP),Indian Institute of Technology Ropar,0.7674418604651163,Fuzzy
Universiti Teknologi PETRONAS (UTP),Universiti Teknologi MARA,0.7666666666666667,Fuzzy
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Universitat Politècnica de Catalunya,0.7659574468085106,Fuzzy
Universidade Estadual de Campinas (Unicamp),Universidade Estadual Paulista (Unesp),0.7654320987654321,Fuzzy
Universidad Católica del Uruguay (UCU),Universidad Católica del Maule,0.7647058823529411,Fuzzy
"Essex, University of",Ege University,0.7647058823529411,Fuzzy
Universidad Nacional de La Plata (UNLP),Universidad Nacional del Litoral,0.7605633802816901,Fuzzy
Princess Sumaya University for Technology,Urmia University of Technology,0.7605633802816901,Fuzzy
Novosibirsk State University,Lagos State University,0.76,Fuzzy
Universidad Europea,Universidad Loyola,0.7567567567567568,Fuzzy
Dongguk University ,Woosong University,0.7567567567567568,Fuzzy
Universidad de los Andes,Universidad del Valle,0.7555555555555555,Fuzzy
Beijing Jiaotong University,Beihang University,0.7555555555555555,Fuzzy
Universidad Nacional de Córdoba - UNC,Universidad Nacional del Litoral,0.7536231884057971,Fuzzy
Aix-Marseille University,Ariel University,0.75,Fuzzy
Universidad Austral,Universidade Lusófona,0.75,Fuzzy
Addis Ababa University,Indiana University,0.75,Fuzzy
Ural Federal University - UrFU,Federal University of Pará,0.75,Fuzzy
Universidad de Palermo (UP),Universidad del Valle,0.75,Fuzzy
Indiana University Bloomington,Indiana University,0.75,Fuzzy
Queen's University at Kingston,Queen’s University Belfast,0.75,Fuzzy
Singapore University of Technology and Design,Opole University of Technology,0.7466666666666667,Fuzzy
"University of Agriculture, Faisalabad ","MNS University of Agriculture, Multan",0.7466666666666667,Fuzzy
Saint Petersburg State University,San Diego State University,0.7457627118644068,Fuzzy
Université de Strasbourg,Université de Gabès,0.7441860465116279,Fuzzy
Canadian University Dubai,Indiana University,0.7441860465116279,Fuzzy
Applied Science University - Bahrain,Applied Science Private University,0.7428571428571429,Fuzzy
Universidade Católica Portuguesa,Universidad Católica del Maule,0.7419354838709677,Fuzzy
Universität Jena,University of Jendouba,0.7368421052631579,Fuzzy
VILNIUS TECH (Vilnius Gediminas Technical University),Vilnius Gediminas Technical University (Vilnius Tech),0.7358490566037735,Fuzzy
Tokyo Institute of Technology (Tokyo Tech),Kyoto Institute of Technology,0.7323943661971831,Fuzzy
Lappeenranta-Lahti University of Technology LUT,Queensland University of Technology,0.7317073170731707,Fuzzy
American University of Central Asia,University of Central Punjab,0.7301587301587301,Fuzzy
Belarusian National Technical University (BNTU),Azerbaijan Technical University (AzTU),0.7294117647058823,Fuzzy
Tokyo Medical and Dental University (TMDU),Tokyo Medical University,0.7272727272727273,Fuzzy
Université de Sherbrooke,Université de Skikda,0.7272727272727273,Fuzzy
Lomonosov Moscow State University,Lagos State University,0.7272727272727273,Fuzzy
Université de Lorraine,Université de Poitiers,0.7272727272727273,Fuzzy
Karaganda Buketov University,Kanagawa University,0.723404255319149,Fuzzy
Universita' Politecnica delle Marche,Universitat Politècnica de Catalunya,0.7222222222222222,Fuzzy
Universidad Politécnica de Madrid (UPM),Universidad Politécnica Salesiana,0.7222222222222222,Fuzzy
"Manipal Academy of Higher Education, Manipal, Karnataka, India",Manipal Academy of Higher Education,0.7216494845360825,Fuzzy
Universidad Nacional Autónoma de México  (UNAM),Universidad Autónoma del Estado de Mexico (UAEMex),0.7216494845360825,Fuzzy
Beihang University (former BUAA),Beihang University,0.72,Fuzzy
Far Eastern Federal University,Near East University,0.72,Fuzzy
National Research Tomsk Polytechnic University,Marche Polytechnic University,0.72,Fuzzy
Gadjah Mada University,Sharda University,0.717948717948718,Fuzzy
Università di Padova,University of Pavia,0.717948717948718,Fuzzy
Universität Rostock,University of Deusto,0.717948717948718,Fuzzy
Universidad Autónoma Metropolitana (UAM),Universidad Autónoma de Nuevo León (UANL),0.7160493827160493,Fuzzy
University Duesseldorf,University of Sousse,0.7142857142857143,Fuzzy
Plekhanov Russian University of Economics,Izmir University of Economics,0.7142857142857143,Fuzzy
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,Tashkent Institute of Irrigation and Agricultural Mechanisation,0.7126436781609196,Fuzzy
Universitat Pompeu Fabra (Barcelona),University of Barcelona,0.711864406779661,Fuzzy
Universidad Central de Venezuela,Universidad Científica del Sur,0.7096774193548387,Fuzzy
Universidad de los Andes - Chile,"University of the Andes, Chile",0.7096774193548387,Fuzzy
Université PSL,Université de Skikda,0.7058823529411765,Fuzzy
Technische Universität Bergakademie Freiberg,TU Bergakademie Freiberg,0.7058823529411765,Fuzzy
Universidad EAFIT,Universidad Mayor,0.7058823529411765,Fuzzy
Technische Universität Berlin (TU Berlin),Technische Universität Ilmenau,0.704225352112676,Fuzzy
Rutgers University–Newark,Rush University,0.7,Fuzzy
Central Queensland University (CQUniversity Australia),Central Queensland University,0.6987951807228916,Fuzzy
"City St George’s, University of London",City University of Hong Kong,0.696969696969697,Fuzzy
Bauman Moscow State Technical University,Bursa Technical University,0.696969696969697,Fuzzy
The University of New South Wales (UNSW Sydney),University of South Wales,0.6944444444444444,Fuzzy
Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),Indian Institute of Technology Patna,0.6938775510204082,Fuzzy
Comillas Pontifical University,China Pharmaceutical University,0.6885245901639344,Fuzzy
Università Vita-Salute San Raffaele,Vita-Salute San Raffaele University,0.6857142857142857,Fuzzy
Abylkas Saginov Karaganda Technical University,Karadeniz Technical University,0.6842105263157895,Fuzzy
Universitas Hasanuddin,Universitas Andalas,0.6829268292682927,Fuzzy
Asfendiyarov Kazakh National Medical University,Bogomolets National Medical University,0.6823529411764706,Fuzzy
Universidad Torcuato Di Tella,Universidad Loyola,0.6808510638297872,Fuzzy
Singapore Management University,Covenant University,0.68,Fuzzy
Philipps-Universität Marburg ,University of Marburg,0.68,Fuzzy
American University of Ras Al Khaimah,University of Rajshahi,0.6779661016949152,Fuzzy
American University of Beirut (AUB),Technical University of Berlin,0.676923076923077,Fuzzy
Auezov South Kazakhstan University (SKU),Nova Southeastern University,0.6764705882352942,Fuzzy
Universidad Espíritu Santo (UEES),Universidad Industrial de Santander (UIS),0.6756756756756757,Fuzzy
Toronto Metropolitan University (formerly Ryerson University),Toronto Metropolitan University,0.6739130434782609,Fuzzy
Hamad bin Khalifa University,Humanitas University,0.6666666666666666,Fuzzy
Universidad Externado de Colombia ,Universidad Francisco de Vitoria,0.6666666666666666,Fuzzy
Universität  Leipzig,University of Liège,0.6666666666666666,Fuzzy
Universidad de la República (Udelar),Universidad Católica del Maule,0.6666666666666666,Fuzzy
Universidad de Alcalá (Madrid),Universidad del Valle,0.6666666666666666,Fuzzy
Bina Nusantara University (BINUS),Prince Sultan University (PSU),0.6666666666666666,Fuzzy
"Macquarie University (Sydney, Australia)",Macquarie University,0.6666666666666666,Fuzzy
University of Chinese Academy of Sciences (UCAS),National University of Medical Sciences (NUMS),0.6595744680851063,Fuzzy
Université Claude Bernard Lyon 1,Claude Bernard University Lyon 1,0.65625,Fuzzy
Universita' degli Studi di Ferrara,Universitas Negeri Surabaya,0.6557377049180327,Fuzzy
Universidad Adolfo Ibáñez,Universidad Loyola,0.6511627906976745,Fuzzy
Universidad Anáhuac México,Universidad Mayor,0.6511627906976745,Fuzzy
Renmin (People's) University of China,Medical University of Vienna,0.6461538461538462,Fuzzy
IPB University (aka Bogor Agricultural University),Swedish University of Agricultural Sciences,0.6451612903225806,Fuzzy
"Ain Shams University in Cairo (ASU, Cairo)",Ain Shams University,0.6451612903225806,Fuzzy
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Military Institute of Science and Technology (MIST),0.6440677966101694,Fuzzy
Université Paul Sabatier Toulouse III,University of Toulouse,0.6440677966101694,Fuzzy
American University in Dubai,Medical University of Lublin,0.6428571428571429,Fuzzy
"Vellore Institute of Technology (VIT), Vellore, India",Florida Institute of Technology,0.6428571428571429,Fuzzy
Universidad Carlos III de Madrid (UC3M),Universidad Católica San Antonio de Murcia (UCAM),0.6363636363636364,Fuzzy
Saint Joseph University of Beirut (USJ),University of Georgia (USA),0.6363636363636364,Fuzzy
Peter the Great St. Petersburg Polytechnic University,Marche Polytechnic University,0.6341463414634146,Fuzzy
Khoja Akhmet Yassawi International Kazakh-Turkish University,Imam Khomeini International University,0.6326530612244898,Fuzzy
Eberhard Karls Universität Tübingen,University of Tübingen,0.631578947368421,Fuzzy
"Trinity College Dublin, The University of Dublin",Trinity College Dublin,0.6285714285714286,Fuzzy
Università degli Studi di Pavia,Université de Skikda,0.6274509803921569,Fuzzy
Asia Pacific University of Technology and Innovation (APU) Malaysia,Slovak University of Technology in Bratislava,0.625,Fuzzy
University of Canterbury | Te Whare Wānanga o Waitaha,University of Canterbury,0.6233766233766234,Fuzzy
Universidad de Montevideo (UM),Universidad Andrés Bello (UNAB),0.6229508196721312,Fuzzy
Universidad de Buenos Aires (UBA),Universidad Autónoma de Nuevo León (UANL),0.6216216216216216,Fuzzy
Albert-Ludwigs-Universitaet Freiburg,University of Freiburg,0.6206896551724138,Fuzzy
Friedrich-Alexander-Universität Erlangen-Nürnberg,University of Erlangen-Nuremberg,0.6172839506172839,Fuzzy
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),National Technical University Kharkiv Polytechnic Institute,0.6142857142857143,Fuzzy
Politecnico di Bari,Polytechnic University of Bari,0.6122448979591837,Fuzzy
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Thapar Institute of Engineering and Technology,0.6111111111111112,Fuzzy
Instituto Tecnológico Autónomo de México (ITAM),Instituto Tecnológico Metropolitano,0.6097560975609756,Fuzzy
HUFS - Hankuk (Korea) University of Foreign Studies ,Bucharest University of Economic Studies,0.6086956521739131,Fuzzy
Università degli Studi di Perugia,Université de Skikda,0.6037735849056604,Fuzzy
Immanuel Kant Baltic Federal University,Kansai Medical University,0.59375,Fuzzy
Kazan (Volga region) Federal University,Kansai Medical University,0.59375,Fuzzy
Kyrgyz-Turkish Manas University,Tribhuvan University,0.5882352941176471,Fuzzy
Politecnico di Torino,Polytechnic University of Turin,0.5769230769230769,Fuzzy
Universitat Rovira i Virgili,University of Tripoli,0.5714285714285714,Fuzzy
UNESP,,0.0,No Match
"Stony Brook University, State University of New York",,0.0,No Match
Università degli Studi della Tuscia (University of Tuscia),,0.0,No Match
Università degli studi Roma Tre,,0.0,No Match
South Ural State University (National Research University),,0.0,No Match
UNIVERSITY OF GDANSK,,0.0,No Match
"El Colegio de México, A.C.",,0.0,No Match
Institut National des Sciences Appliquées de Lyon (INSA),,0.0,No Match
Université Paris 1 Panthéon-Sorbonne,,0.0,No Match
ISCTE-IUL,,0.0,No Match
Karl-Franzens-Universitaet Graz,,0.0,No Match
Julius-Maximilians-Universität Würzburg,,0.0,No Match
Christian-Albrechts-University zu Kiel,,0.0,No Match
Abai Kazakh National Pedagogical University (Abai University),,0.0,No Match
"Sofia University ""St. Kliment Ohridski""",,0.0,No Match
Martin-Luther-Universität Halle-Wittenberg,,0.0,No Match
Rheinische Friedrich-Wilhelms-Universität Bonn,,0.0,No Match
Alma Mater Studiorum - Università di Bologna,,0.0,No Match
SEGi UNIVERSITY,,0.0,No Match
Ludwig-Maximilians-Universität München,,0.0,No Match
"The New School, New York City & Paris",,0.0,No Match
KFUPM,,0.0,No Match
Universidad Iberoamericana Ciudad de México - IBERO,,0.0,No Match
Amrita Vishwa Vidyapeetham,,0.0,No Match
